epoch,train_nll,valid_nll,test_nll,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_auc,valid_auc,test_auc,train_auprc,valid_auprc,test_auprc,train_mse_oob,valid_mse_oob,test_mse_oob
52,-0.0005612167226932453,-0.0019725099680120545,-0.0019725099680120545,6.8449271683358585e-06,1.0930905269734226e-05,1.0930905269734226e-05,0.0002064436227920265,0.0003621115503891078,0.0003621115503891078,,,,,,,0.4233146321424852,0.21811796061454347,0.21811796061454347
53,-0.0014052880061937855,-0.0036994043656757105,-0.0036994043656757105,5.585083593647804e-06,9.945994859788685e-06,9.945994859788685e-06,0.00018618044792547838,0.0003432003428941241,0.0003432003428941241,,,,,,,0.4429064450184461,0.23102964441304558,0.23102964441304558
54,-0.0022426264944098813,-0.005359093409447192,-0.005359093409447192,4.8348022797177446e-06,7.717477578114643e-06,7.717477578114643e-06,0.00017302631013239267,0.00029642489159757446,0.00029642489159757446,,,,,,,0.4541079923260172,0.23087035369763434,0.23087035369763434
55,-0.0029643867387834063,0.00036894871486476967,0.00036894871486476967,4.025907622613464e-06,1.8678462008121518e-05,1.8678462008121518e-05,0.0001569164158680534,0.0004803775835222568,0.0004803775835222568,,,,,,,0.4505941371683022,0.2198458763597345,0.2198458763597345
56,0.015355799246526034,0.0013291291937427203,0.0013291291937427203,4.856205204552297e-05,6.0436541271138365e-05,6.0436541271138365e-05,0.0005255297298500788,0.0008687545876213674,0.0008687545876213674,,,,,,,0.41885636799516857,0.20564558902975646,0.20564558902975646
57,-0.00021746121622980233,-0.0008062242836396838,-0.0008062242836396838,3.3349295315841004e-05,7.456943420045608e-05,7.456943420045608e-05,0.0004561193392509662,0.0009650854856941536,0.0009650854856941536,,,,,,,0.3894453673740743,0.18065412150831514,0.18065412150831514
58,-0.0005750467850925868,-0.0005536113445923446,-0.0005536113445923446,3.601627228886599e-05,6.687361158934626e-05,6.687361158934626e-05,0.0004742153907796928,0.0009141637919680229,0.0009141637919680229,,,,,,,0.2987301952055349,0.1367939108982755,0.1367939108982755
59,-0.00041679631841741867,-3.881125001584454e-05,-3.881125001584454e-05,3.9010156203953995e-05,7.389118243940882e-05,7.389118243940882e-05,0.0004935994410563002,0.0009609518592141372,0.0009609518592141372,,,,,,,0.21505379153990373,0.0914190712831871,0.0914190712831871
60,-0.00027188386629394353,5.429391448072002e-05,5.429391448072002e-05,4.135889976320023e-05,0.00010283134216917496,0.00010283134216917496,0.000507098221650655,0.0011336814239221887,0.0011336814239221887,,,,,,,0.14557581202371836,0.06245573230493214,0.06245573230493214
61,-0.0003846864379567874,-0.0004986967561804598,-0.0004986967561804598,4.8299993682847925e-05,0.0001036300049896233,0.0001036300049896233,0.0005493665110910529,0.0011381147250839497,0.0011381147250839497,,,,,,,0.10004249316914944,0.03759891741210856,0.03759891741210856
62,-0.000191301520198784,0.008616618531176363,0.008616618531176363,5.1754331417059025e-05,9.694333451748818e-05,9.694333451748818e-05,0.000568582641528902,0.0011008100839275544,0.0011008100839275544,,,,,,,0.07456936214999786,0.01420677345669785,0.01420677345669785
63,0.0038016552163062335,0.0014764621048792357,0.0014764621048792357,4.814568594710115e-05,9.29967613041926e-05,9.29967613041926e-05,0.0005483681043618476,0.0010781652465833083,0.0010781652465833083,,,,,,,0.0684690585889766,0.018938286072743445,0.018938286072743445
64,0.0007670879562644365,0.0015793272579822533,0.0015793272579822533,4.280908514100387e-05,7.112440367937316e-05,7.112440367937316e-05,0.0005168254611382826,0.0009428930461628949,0.0009428930461628949,,,,,,,0.06582548576218647,0.027598809934068783,0.027598809934068783
65,0.0006696039271597412,0.00137692085809148,0.00137692085809148,3.276039585054984e-05,5.2056213709192234e-05,5.2056213709192234e-05,0.00045212235098800657,0.0008066541889631193,0.0008066541889631193,,,,,,,0.06522333049219572,0.025495994345710888,0.025495994345710888
66,0.0005731976547556385,0.001425190141165391,0.001425190141165391,2.4016741957960062e-05,4.293694235875619e-05,4.293694235875619e-05,0.0003873095141618855,0.0007325347663373487,0.0007325347663373487,,,,,,,0.05820262566535289,0.029993920777716888,0.029993920777716888
67,0.00042473833718607455,0.0005537996511316313,0.0005537996511316313,1.9490377209716697e-05,3.319292082159748e-05,3.319292082159748e-05,0.00034883254089225653,0.0006439938704222144,0.0006439938704222144,,,,,,,0.05879736254201236,0.040184890972423094,0.040184890972423094
68,4.539257703083839e-05,7.887886539270847e-05,7.887886539270847e-05,1.597933519406126e-05,2.9648307878163307e-05,2.9648307878163307e-05,0.00031600639838018656,0.000608636271763768,0.000608636271763768,,,,,,,0.06172471568303603,0.04304175756191609,0.04304175756191609
69,-0.0003431070815319251,-0.0010683626233209454,-0.0010683626233209454,1.3816268880685825e-05,2.3413721419525037e-05,2.3413721419525037e-05,0.000293703132255164,0.000540849470283438,0.000540849470283438,,,,,,,0.05879017928625273,0.03853431761362714,0.03853431761362714
70,-0.0008608318682908802,-0.002128785539406598,-0.002128785539406598,1.1143817280826768e-05,1.8067332465578703e-05,1.8067332465578703e-05,0.00026380750982427163,0.0004751082534831044,0.0004751082534831044,,,,,,,0.05349473705979831,0.035190117025288487,0.035190117025288487
71,-0.0014461209199828204,-0.003207303232218608,-0.003207303232218608,8.742403741358229e-06,1.556548275324613e-05,1.556548275324613e-05,0.0002337022119635012,0.0004409758510021341,0.0004409758510021341,,,,,,,0.050413495596666656,0.032178422356468575,0.032178422356468575
72,-0.00206925865386475,-0.004234023594532336,-0.004234023594532336,7.3733830074191325e-06,1.2553606773866649e-05,1.2553606773866649e-05,0.00021462017137836766,0.0003960075996309787,0.0003960075996309787,,,,,,,0.04588343022058753,0.024604419053619604,0.024604419053619604
73,-0.0027247607498407183,-0.00557953554932039,-0.00557953554932039,5.97096328916676e-06,9.852819387279891e-06,9.852819387279891e-06,0.00019313718491819593,0.0003508417725055579,0.0003508417725055579,,,,,,,0.041470323855120145,0.01582815207307596,0.01582815207307596
74,-0.0017214534045797512,0.08276708250054861,0.08276708250054861,5.323805078988358e-06,3.433296818956915e-05,3.433296818956915e-05,0.00018228003821939423,0.0006550965870915484,0.0006550965870915484,,,,,,,0.04038445656850278,0.013377277181734646,0.013377277181734646
